category,pop_store,title,price,num,enqueue_date
圖書/文具/影音,永昌文具 ☛ 全面限時98折,日本原裝進口 COPIC Ciao 第三代 圓桿麥克筆 36 Color Set A 36色 A色系 盒裝 /盒 (原廠公司貨),2633,5,2018-09-02
圖書/文具/影音,永昌文具 ☛ 全面限時98折,PLUS 普樂士 NS-108S 口紅膠 8g /支,15,18,2018-09-02
圖書/文具/影音,永昌文具 ☛ 全面限時98折,【破盤價】雄獅 NO.88 簽字筆 / 支,10,20,2018-09-02
運動/戶外/交通,Nike五折專區⭐布魯克林,Adidas Pharrel Tennis HU 編織 粉色 菲董聯名 慢跑 女 (布魯克林) 2018/7月 AQ0988,3890,0,2018-09-02
運動/戶外/交通,Nike五折專區⭐布魯克林,NIKE NSW SHORT 黑白勾 大LOGO 棉質短褲 男生 (布魯克林) 2018/7月 836278-010,1780,0,2018-09-02
運動/戶外/交通,Nike五折專區⭐布魯克林,FRUIT OF THE LOOM 水果牌 美國純棉 5.3oz 高磅數 素T (布魯克林) 2018/8月 FRUIT-,390,4,2018-09-02
運動/戶外/交通,Nike五折專區⭐布魯克林,Adidas Ultra Boost 4.0 黑色 編織 馬牌底 慢跑鞋 男 (布魯克林) 2018/4月 BB6166,5990,2,2018-09-02
運動/戶外/交通,Nike五折專區⭐布魯克林,Adidas Ultra Boost 4.0 全白 編織 馬牌底 慢跑鞋 男 (布魯克林) 2018/4月 BB6168,5990,5,2018-09-02
運動/戶外/交通,Nike五折專區⭐布魯克林,NIKE W Air Huarache Ultra 黑白 武士 襪套 涼鞋 女鞋 ( 布魯克林 ) 2017/5月 885118-001,3000,12,2018-09-02
圖書/文具/影音,永昌文具 ☛ 全面限時98折,利百代 SR-C031 可愛家族非PVC安全無毒抗菌橡皮擦(藍) / 個,15,5,2018-09-02
圖書/文具/影音,永昌文具 ☛ 全面限時98折,COX CR-2000 塑膠直尺-20cm / 支,8,8,2018-09-02
圖書/文具/影音,永昌文具 ☛ 全面限時98折,【破盤價】PLUS 普樂士 30-111 10號釘書針 / 盒,8,9,2018-09-02
圖書/文具/影音,永昌文具 ☛ 全面限時98折,【破盤價】SDI 手牌 1200 10號釘書針 / 盒,10,9,2018-09-02
圖書/文具/影音,永昌文具 ☛ 全面限時98折,【永昌文具】(限量促銷) 雄獅No.200奇異筆(1.3 mm)(12支/打)(可配色),240,16,2018-09-02
圖書/文具/影音,永昌文具 ☛ 全面限時98折,SIMBALION 雄獅 GU-401 可水洗 無毒 超黏 白膠 40g /瓶,10,20,2018-09-02
圖書/文具/影音,永昌文具 ☛ 全面限時98折,3M 502S (12 x 40yd)超透明膠帶 / 捲,15,6,2018-09-02
圖書/文具/影音,永昌文具 ☛ 全面限時98折,(促銷)足勇44003 足讚T-40事務用剪刀 (隨機出貨) / 支,40,44,2018-09-02
圖書/文具/影音,永昌文具 ☛ 全面限時98折,(促銷) LEVEL立榮 L-88 原子筆0.5mm 支 / 2支/ 組,10,17,2018-09-02
圖書/文具/影音,永昌文具 ☛ 全面限時98折,COX CR-1500 塑膠直尺-15cm / 支,7,13,2018-09-02
圖書/文具/影音,永昌文具 ☛ 全面限時98折,O.B. Silk-ball自動原子筆0.7 / 0.48mm (20支/盒) OB#1207 / 1248,168,8,2018-09-02
圖書/文具/影音,永昌文具 ☛ 全面限時98折,雄獅可擦拭螢光筆 FM-880 / 支,15,22,2018-09-02
圖書/文具/影音,永昌文具 ☛ 全面限時98折,【Pentel飛龍】S512 螢光筆 /支,18,22,2018-09-02
圖書/文具/影音,永昌文具 ☛ 全面限時98折,促銷價 『3M』Scotch 巧兔造型 SM2-R 桌上型膠台 /組 ( 附2捲3/4膠帶 ),190,10,2018-09-02
圖書/文具/影音,永昌文具 ☛ 全面限時98折,促銷 【永昌文具】SDI 手牌 i-PULO ECT-104R ECT-105R ECT-106R 修正內帶 / 個,40,63,2018-09-02
圖書/文具/影音,永昌文具 ☛ 全面限時98折,(促銷) LEVEL 立榮 L-77 原子筆 支 / 2支 / 組,10,18,2018-09-02
圖書/文具/影音,永昌文具 ☛ 全面限時98折,【破盤價】雄獅 10號訂書針 2盒入 / 組,16,21,2018-09-02
圖書/文具/影音,永昌文具 ☛ 全面限時98折,雄獅口紅膠 GS-104 / 支,15,11,2018-09-02
圖書/文具/影音,永昌文具 ☛ 全面限時98折,TEMPO 節奏 H-106 螢光筆 / 支,10,40,2018-09-02
圖書/文具/影音,永昌文具 ☛ 全面限時98折,【促銷下殺】日本 KOKUYO 無針訂書機美壓版5枚 SLN-MPH105 / 支,450,8,2018-09-02
圖書/文具/影音,永昌文具 ☛ 全面限時98折,LEVEL立榮 L-88 原子筆0.5mm / 支,10,45,2018-09-02
圖書/文具/影音,永昌文具 ☛ 全面限時98折,【Pentel飛龍】ZETH07 ZETL07 ZETS07 AIN長型橡皮擦 /個,15,18,2018-09-02
圖書/文具/影音,永昌文具 ☛ 全面限時98折,日本 LION NO.510 半砂 橡皮擦 ( 鉛筆 原子筆 鋼筆 用 ) /個,40,15,2018-09-02
圖書/文具/影音,永昌文具 ☛ 全面限時98折,【Pentel飛龍】ZEH-05 標準型橡皮擦 /個,10,51,2018-09-02
圖書/文具/影音,永昌文具 ☛ 全面限時98折,即日起特賣回饋客戶 【隔日配】Faber-Castell 輝柏 115937 水性彩色鉛筆 (鐵盒裝) 36色入 /盒,620,7,2018-09-02
圖書/文具/影音,永昌文具 ☛ 全面限時98折,雄獅蠟彩螢光筆 FPC-515 / 支,15,35,2018-09-02
圖書/文具/影音,永昌文具 ☛ 全面限時98折,MontBlanc 萬寶龍 refill Rollerball 鋼珠筆筆芯 / 支 下單前請詳閱內文說明,250,11,2018-09-02
圖書/文具/影音,永昌文具 ☛ 全面限時98折,【永昌文具】(限量促銷) 雄獅 No.600奇異筆(1 mm)(12支/打),180,15,2018-09-02
圖書/文具/影音,永昌文具 ☛ 全面限時98折,【Double A】 A4影印紙A&a 白色 (70磅) 500張入/包 10包/箱 (請勿選超商取貨),1000,8,2018-09-02
圖書/文具/影音,永昌文具 ☛ 全面限時98折,PILOT 百樂 WMBM-12L 可換卡水白板筆(中字) / 支,45,103,2018-09-02
圖書/文具/影音,永昌文具 ☛ 全面限時98折,【限時促銷】SDI 手牌 0172 可換刀電動削鉛筆機 (顏色隨機出貨) / 台,1800,8,2018-09-02
圖書/文具/影音,永昌文具 ☛ 全面限時98折,L型文件夾 E310 (12個/包),28,43,2018-09-02
圖書/文具/影音,永昌文具 ☛ 全面限時98折,【FABER-CASTELL】輝柏 188733 彩色鉛筆 專用 橡皮擦 /個 ( 188920 更新 ),20,15,2018-09-02
圖書/文具/影音,永昌文具 ☛ 全面限時98折,STABILO 德國天鵝 1191N 黑色環保橡皮擦-小 / 個,15,38,2018-09-02
圖書/文具/影音,永昌文具 ☛ 全面限時98折,【促銷】日本品牌OB原子筆OB-100 (/支),10,57,2018-09-02
圖書/文具/影音,永昌文具 ☛ 全面限時98折,日本原裝 TOMBOW 蜻蜓牌 MONO PE-01AB 極黑橡皮擦 小 /個,15,23,2018-09-02
圖書/文具/影音,永昌文具 ☛ 全面限時98折,嘸蝦米 (無蝦米) 輸入法 J 標準版 /套 ( Windows 版本),1307,11,2018-09-02
圖書/文具/影音,永昌文具 ☛ 全面限時98折,(促銷)11孔內頁(台灣製) 100張 /包,200,51,2018-09-02
圖書/文具/影音,永昌文具 ☛ 全面限時98折,利百代 7600 紙捲油蠟筆 (單色) 12支入 / 盒,300,127,2018-09-02
服飾/內睡衣,Gap►輸碼滿$376現折188,Gap男童 基本款牛津布柔軟紐扣長袖襯衫 699648-牛津藍,899,0,2018-09-02
服飾/內睡衣,Gap►輸碼滿$376現折188,Gap女嬰幼童 縮褶寬肩帶牛仔洋裝 307364-精紡斜紋布,999,1,2018-09-02
服飾/內睡衣,Gap►輸碼滿$376現折188,Gap男童 純棉印花休閒長袖T恤 兒童圖案內搭上衣370803-北京,799,0,2018-09-02
圖書/文具/影音,永昌文具 ☛ 全面限時98折,限時促銷 【萬事捷】 1330 護貝膜 A4 亮面 護貝膠膜 216X303mm -100張 /盒,900,59,2018-09-02
服飾/內睡衣,Gap►輸碼滿$376現折188,Gap女嬰幼童 印花荷葉邊柔軟休閒短袖T恤 259379-甲蟲圖案,449,1,2018-09-02
服飾/內睡衣,Gap►輸碼滿$376現折188,Gap女嬰幼童 純棉印花基本款長袖T恤 兒童內搭上衣356426-濃情奶白色,499,1,2018-09-02
服飾/內睡衣,Gap►輸碼滿$376現折188,Gap男童 刷毛迷彩LOGO圖案短褲 237840-綠色迷彩,799,2,2018-09-02
服飾/內睡衣,Gap►輸碼滿$376現折188,Gap男女嬰兒 純棉純色熊耳連帽針織開襟衫 215587-淺灰,999,2,2018-09-02
服飾/內睡衣,Gap►輸碼滿$376現折188,Gap男嬰幼童 牛津紡領尖紐扣長袖襯衫 911790-天藍色,799,2,2018-09-02
服飾/內睡衣,Gap►輸碼滿$376現折188,Gap女嬰兒 甜美荷葉邊鏤空小飛袖洋裝 283121-藍色條紋,1499,5,2018-09-02
服飾/內睡衣,Gap►輸碼滿$376現折188,Gap女裝 雅致系帶裝飾七分袖褶皺長袖洋裝 260201-黃色圖案,1699,2,2018-09-02
服飾/內睡衣,Gap►輸碼滿$376現折188,Gap男女嬰兒 布萊納小熊刺繡純棉短袖包屁衣三件裝 595584-淺色石楠灰,999,4,2018-09-02
服飾/內睡衣,Gap►輸碼滿$376現折188,Gap男嬰幼童 Logo Global Remix系列 圆领短袖T恤 336070-航海藍,699,4,2018-09-02
服飾/內睡衣,Gap►輸碼滿$376現折188,Gap女裝 條紋圓領修身短袖T恤 296120-藍色條紋,999,4,2018-09-02
服飾/內睡衣,Gap►輸碼滿$376現折188,Gap x Disney女嬰幼童 迪士尼系列米妮連帽運動衫 298614-米妮老鼠圖案,1299,6,2018-09-02
服飾/內睡衣,Gap►輸碼滿$376現折188,Gap男童 純棉基本款圖案圓領短袖T恤 310553-亮孔雀石綠,699,7,2018-09-02
服飾/內睡衣,Gap►輸碼滿$376現折188,Gap女裝 休閒莫代爾柔軟短袖T恤式洋裝女 297703-粉色條紋,1299,7,2018-09-02
服飾/內睡衣,Gap►輸碼滿$376現折188,Gap女嬰幼童 布萊納小熊刺繡童趣精選系列純色內搭褲 805024-冰粉色,499,10,2018-09-02
服飾/內睡衣,Gap►輸碼滿$376現折188,Gap男嬰幼童 基本款撞色柔軟無袖背心式上衣 260319-光感亮白,499,11,2018-09-02
服飾/內睡衣,Gap►輸碼滿$376現折188,Gap女裝 時尚中腰緊身牛仔褲 192728-水洗色,2499,11,2018-09-02
服飾/內睡衣,Gap►輸碼滿$376現折188,Gap女裝 Logo系列純棉金屬感圓領短袖T恤 215888-恬靜羽白色,899,8,2018-09-02
服飾/內睡衣,Gap►輸碼滿$376現折188,Gap男裝 簡約風格休閒短褲 228605-煙灰色,1299,12,2018-09-02
服飾/內睡衣,Gap►輸碼滿$376現折188,Gap男嬰幼童 基本款撞色柔軟無袖背心式上衣 260319-靛藍色,499,14,2018-09-02
服飾/內睡衣,Gap►輸碼滿$376現折188,Gap男女嬰兒 趣味童趣圖案短袖包屁衣 230087-光感亮白,499,16,2018-09-02
服飾/內睡衣,Gap►輸碼滿$376現折188,Gap男童 Logo系列鯊魚圖案圓領短袖T恤 305789-光感亮白,699,30,2018-09-02
服飾/內睡衣,Gap►輸碼滿$376現折188,Gap男嬰幼童 純棉拼色Gap Logo基本款圖案短袖T恤 260246-檸檬黃,499,19,2018-09-02
服飾/內睡衣,Gap►輸碼滿$376現折188,Gap女嬰兒 基本款純棉繡花鏤空蝴蝶袖包屁衣 230706-淺粉色,499,43,2018-09-02
服飾/內睡衣,Gap►輸碼滿$376現折188,Gap男嬰幼童 1969牛仔系列柔軟丹寧牛仔長褲 230862-中度水洗,1299,27,2018-09-02
服飾/內睡衣,Gap►輸碼滿$376現折188,Gap女裝 純棉復古水洗短袖圓領基本款T恤 231912-純正黑色,699,64,2018-09-02
服飾/內睡衣,Gap►輸碼滿$376現折188,Gap男嬰幼童 基本款純棉柔軟鬆緊腰短褲 215139-藏青色,499,84,2018-09-02
服飾/內睡衣,Gap►輸碼滿$376現折188,Gap男嬰幼童 小熊刺繡純棉條紋口袋短袖T恤 249899-靛藍色,499,26,2018-09-02
服飾/內睡衣,Gap►輸碼滿$376現折188,Gap女裝 基本款純色V領純棉短袖T恤女裝 283152-石楠灰,699,84,2018-09-02
服飾/內睡衣,a la sha►滿千折百累計,a la sha Qummi 裙兒飄飄下擺多層次拼紗長版上衣,1490,13,2018-09-02
服飾/內睡衣,a la sha►滿千折百累計,a la sha 當季魅力↘繽紛a半罩安全帽,1090,22,2018-09-02
服飾/內睡衣,a la sha►滿千折百累計,a la sha 抹茶與大象影子短袖上衣,990,20,2018-09-02
服飾/內睡衣,a la sha►滿千折百累計,a la sha 阿財與好多動物短袖上衣,890,49,2018-09-02
服飾/內睡衣,a la sha►滿千折百累計,a la sha Qummi 戴帽抹茶與阿財好友手牽手短T,990,88,2018-09-02
服飾/內睡衣,a la sha►滿千折百累計,a la sha 大象與家族大包包,1390,30,2018-09-02
服飾/內睡衣,a la sha►滿千折百累計,a la sha 熊熊與小鹿跟阿財合照短袖上衣,790,60,2018-09-02
服飾/內睡衣,a la sha►滿千折百累計,a la sha 大熊熊與家族收納包,790,37,2018-09-02
服飾/內睡衣,a la sha►滿千折百累計,a la sha 抹茶跳色踝襪,220,91,2018-09-02
服飾/內睡衣,a la sha►滿千折百累計,a la sha 紳士阿財短袖上衣,790,137,2018-09-02
服飾/內睡衣,a la sha►滿千折百累計,a la sha Qummi 阿財請大家吃蛋糕囉短袖棉T,890,260,2018-09-02
清潔/醫療/寵物,米克斯寵物★全店9折,◆MIX米克斯◆【99元運費加購好傘】限定曙光犬貓飼料.超級好傘大放送(活動詳情參閱商品內文),499,0,2018-09-02
清潔/醫療/寵物,米克斯寵物★全店9折,"◆MIX米克斯◆Lifeapp CAT CAVE寵愛貓窩.貓籃子舒適睡窩,創意翻玩,把寵物隨時提著走",1250,0,2018-09-02
清潔/醫療/寵物,米克斯寵物★全店9折,◆MIX米克斯◆加拿大BOREAL.無穀鮮肉愛貓寵食【5磅 約2.26kg】,2600,0,2018-09-02
清潔/醫療/寵物,米克斯寵物★全店9折,"◆MIX米克斯◆Element,元素A2電剪.",1800,0,2018-09-02
美食/纖體/保健,連珍糕餅★2018評比冠軍,連珍中秋節綜合禮盒12入,630,0,2018-09-02
美食/纖體/保健,連珍糕餅★2018評比冠軍,連珍中秋禮盒鳳凰酥10入,360,2,2018-09-02
美食/纖體/保健,連珍糕餅★2018評比冠軍,連珍中秋禮盒全咖哩肉餅(12入),384,8,2018-09-02
美食/纖體/保健,連珍糕餅★2018評比冠軍,連珍蘋果日報冠軍 中秋節首選 棗泥花糕(9入),330,0,2018-09-02
美食/纖體/保健,連珍糕餅★2018評比冠軍,連珍中秋月餅花玥禮盒10入,550,30,2018-09-02
美食/纖體/保健,連珍糕餅★2018評比冠軍,連珍中秋蘋果日報推薦 雙色蛋黃酥(12入),480,18,2018-09-02
清潔/醫療/寵物,KING★滿499享97折,*KING WANG*日本寵喵樂二代 99.5%鋁合金貓鍋 貓咪圓形涼墊-加強款涼度,1090,0,2018-09-02
清潔/醫療/寵物,KING★滿499享97折,*KING WANG*【單罐】Sheba嚴選罐系列75g (四種口味可選)--全新上市,57,8,2018-09-02
清潔/醫療/寵物,KING★滿499享97折,"*KING WANG*【兩盒免運組】Ever Clean藍鑽貓砂25磅//9月底到貨,可預購",1880,63,2018-09-02
清潔/醫療/寵物,KING★滿499享97折,*KING WANG*【單包】愛的獎勵《犬用零食系列超值包》多種口味狗零食 全犬適用,139,6,2018-09-02
清潔/醫療/寵物,KING★滿499享97折,*KING WANG* IRIS薄型花香抗菌尿布墊 ES-100F小/50F中,399,0,2018-09-02
清潔/醫療/寵物,米克斯寵物★全店9折,"◆MIX米克斯◆Vita貓咪快餐零食,vita貓肉條盒裝(20排),一排3入,可混搭",950,1,2018-09-02
美食/纖體/保健,ezmore★任2件9折,印尼 Gery 厚醬起司威化餅 (盒裝) 280g 厚醬 威化餅 團購 餅乾 厚醬餅乾 起司 印尼餅乾,79,12,2018-09-02
清潔/醫療/寵物,米克斯寵物★全店9折,"◆MIX米克斯◆【無截角】活力雞肉零食系列,長年暢銷不敗必備款",199,110,2018-09-02
美食/纖體/保健,ezmore★任2件9折,韓國 wonjin 原辰 補水急救面膜 (10片/盒裝) 30gx10 安瓶 補水 保濕 面膜 術後面膜 林允推薦,350,5,2018-09-02
相機/手機/電玩,Unicorn 手機殼★天天上新品,LQ-035 補光廣角 0.4X-0.6X 無暗角 15X微距鏡頭 美顏 自拍 補光燈 玫瑰金,450,7,2018-09-02
美食/纖體/保健,ezmore★任2件9折,韓國 SUNTOUCH 夯肉不沾6格烤盤 40cm 多格 6格烤盤 烤盤 烤肉 燒肉 蒸蛋 烤肉盤 中秋,549,5,2018-09-02
美食/纖體/保健,ezmore★任2件9折,日本 iris foods 低溫製法生切麻糬 1kg 麻糬 日本麻糬 純生切麻糬 麻糬湯 年糕湯 烤麻糬 中秋,299,8,2018-09-02
美食/纖體/保健,ezmore★任2件9折,日本 合食 函館 朝日北海道鮭魚鬆 鮭魚鬆 鮭魚 朝日鮭魚鬆 配飯 拌飯 飯糰,175,6,2018-09-02
美食/纖體/保健,ezmore★任2件9折,韓式電磁爐烤盤 30cm 電磁爐烤盤 韓式麥飯石烤盤 無煙 不黏鍋 燒烤 烤肉 牛排 鐵板燒,399,12,2018-09-02
美食/纖體/保健,ezmore★任2件9折,韓國 大象 醃烤調味醬 500g 燒醃烤醬 烤肉醬 燒肉醬 烤肉 燒肉 醃肉 韓國媽媽必備,150,17,2018-09-02
相機/手機/電玩,SG★全館超取免運費!!!,直拍美肌補光燈線控自拍棒三腳架自拍桿自拍杆自拍神器A8,790,7,2018-09-02
相機/手機/電玩,SG★全館超取免運費!!!,客製化 手機殼 ASUS Zenfone 4 Max Selfie Pro 2 Laser 3 Deluxe Ultra 5 6 保護殼 手繪可愛北極熊,1280,2,2018-09-02
相機/手機/電玩,SG★全館超取免運費!!!,小米手環3充電線充電器,280,3,2018-09-02
相機/手機/電玩,SG★全館超取免運費!!!,客製化 手機殼 ASUS Zenfone 4 Max Selfie Pro 2 Laser 3 Deluxe Ultra 5 6 保護殼 漸層大理石,1380,1,2018-09-02
相機/手機/電玩,SG★全館超取免運費!!!,客製化 手機殼 OPPO R11 R11s R9 R9s Plus F3 A39 A57 保護殼 紫羅蘭碎花,1280,1,2018-09-02
相機/手機/電玩,SG★全館超取免運費!!!,客製化 手機殼 三星 A8 A8+ 2018 J7 J7+ Plus J5 S8 S8+ S7 Edge S6 防摔殼 粉嫩碎花 光盾,1280,1,2018-09-02
相機/手機/電玩,SG★全館超取免運費!!!,Mcdodo 智能斷電 QC3.0 快充 充電線 Type C 傳輸線 呼吸燈 編織線 數據線 閃充 1M,580,3,2018-09-02
相機/手機/電玩,SG★全館超取免運費!!!,TOTU 音頻轉接器 Lightning 通話 充電 聽歌 二合一 轉接器 轉接頭 iPhone X 8 7 Plus,880,1,2018-09-02
相機/手機/電玩,SG★全館超取免運費!!!,Mcdodo 智能斷電 2.4A 快充 蘋果 Lightning 充電線 傳輸線 編織線 iPhone ix i8 i7 plus,580,1,2018-09-02
相機/手機/電玩,SG★全館超取免運費!!!,Mcdodo 智能斷電 2.4A 快充 蘋果 Lightning 充電線 傳輸線 編織線 iPhone ix i8 i7 plus,580,0,2018-09-02
相機/手機/電玩,SG★全館超取免運費!!!,TOTU 一組兩入 蘋果 iPhoneX ix 鏡頭貼 鋼化膜 9H 保貼 鏡頭膜 玻璃貼 超薄 防爆,380,1,2018-09-02
相機/手機/電玩,SG★全館超取免運費!!!,TOTU 耀系列 快充 3.1A 數顯 USB 充電器 閃充 智能 多孔 充電頭 插座 轉接頭,580,2,2018-09-02
相機/手機/電玩,映象專業攝影★相機現折千元,【6期0利率】申請送原電 Canon PowerShot G7X Mark II 彩虹公司貨 類單眼,17300,0,2018-09-02
相機/手機/電玩,映象專業攝影★相機現折千元,FUJIFILM INSTAX MINI8 熊本熊禮盒組 拍立得相機 附熊本熊底片 平輸貨,3350,0,2018-09-02
相機/手機/電玩,映象專業攝影★相機現折千元,Fujifilm XF 23mm F2 R WR 恆昶公司貨 ((黑色)) 保固一年 富士,15200,0,2018-09-02
相機/手機/電玩,映象專業攝影★相機現折千元,【24期0利率】拆鏡 OLYMPUS ED 12-40mm f2.8 PRO M.ZUIKO 元佑公司貨 兩年保固,23500,0,2018-09-02
相機/手機/電玩,映象專業攝影★相機現折千元,【6期0利率】elinchrom D-Lite RX 4/4 SOFTBOX TO GO 華曜公司貨 ((18個月保固)) RX4,29800,1,2018-09-02
相機/手機/電玩,SG★全館超取免運費!!!,Mcdodo 套裝 快充 PD 2A 充電頭 Lightning 傳輸線 充電線 智能 充電器 Type C,1080,0,2018-09-02
相機/手機/電玩,SG★全館超取免運費!!!,Mcdodo 磐石系列 快充 2.1A 雙孔 USB 充電器 閃充 智能 多孔 充電頭 插座 轉接頭,550,0,2018-09-02
相機/手機/電玩,SG★全館超取免運費!!!,正版 小米 TDS 水質檢測筆 檢測儀 米家 淨水 測水筆 按一下使用,480,4,2018-09-02
相機/手機/電玩,SG★全館超取免運費!!!,Mcdodo 智能快充 QC3.0 2A 充電線 安卓 Micro 傳輸線 編織線 數據線 閃充 快充線 100cm,480,1,2018-09-02
相機/手機/電玩,SG★全館超取免運費!!!,TOTU 智能斷電 呼吸燈 2.4A 快充 iPhone 充電線 Lightning 傳輸線 爍系列 編織線,480,1,2018-09-02
相機/手機/電玩,SG★全館超取免運費!!!,Mcdodo 智能斷電 QC3.0 2.4A 充電線 安卓 Micro 傳輸線 編織線 數據線 閃充 快充線 100cm,580,0,2018-09-02
相機/手機/電玩,SG★全館超取免運費!!!,TOTU 耀系列 一組三入 蘋果 2.1A 快充 Lightning 傳輸線 數據線 充電線 ix i8 i7 plus,580,2,2018-09-02
相機/手機/電玩,SG★全館超取免運費!!!,TOTU 悅木系列 iPhone 8 7 i8 i7 手機殼 四角 全包 軟殼 保護套 掛繩孔,580,1,2018-09-02
相機/手機/電玩,SG★全館超取免運費!!!,Mcdodo 智能斷電 2.4A 快充 蘋果 Lightning 充電線 傳輸線 編織線 iPhone ix i8 i7 plus,580,7,2018-09-02
相機/手機/電玩,SG★全館超取免運費!!!,PICKOGEN 4K 高清 廣角鏡頭 0.5X廣角 魚眼 微距 抗變形 自拍神器 手機 夾式,1080,0,2018-09-02
相機/手機/電玩,SG★全館超取免運費!!!,PICKOGEN 五合一 廣角 鏡頭 轉盤 魚眼 微距 廣角 增距 偏光 鏡頭 自拍神器 手機 夾式,680,0,2018-09-02
相機/手機/電玩,SG★全館超取免運費!!!,PICKOGEN 4K 高清 花瓣型 廣角鏡頭 廣角 微距 抗變形 自拍神器 手機 夾式 鏡頭,790,1,2018-09-02
相機/手機/電玩,SG★全館超取免運費!!!,TOTU 指環 支架 狗狗 毛孩子 鋅合金 手機 平板 懶人 支架 指環架 指環扣 防摔 防滑,490,0,2018-09-02
相機/手機/電玩,SG★全館超取免運費!!!,TOTU 鎧甲系列 一拖三 快充 2.4A iPhone 安卓 Micro Type C 充電線 閃充 智能 Lightning 編織線 傳輸線,790,0,2018-09-02
相機/手機/電玩,SG★全館超取免運費!!!,Mcdodo BM-02 立體聲 線控 耳機 麥克風 通話 智能 附3組耳帽 3.5mm 通用,550,0,2018-09-02
相機/手機/電玩,SG★全館超取免運費!!!,PICKOGEN 4K 高清 廣角鏡頭 0.58X廣角 魚眼 20X微距 抗變形 自拍神器 手機 夾式,1480,0,2018-09-02
相機/手機/電玩,SG★全館超取免運費!!!,Mcdodo 三合一 磁吸 快充 2A iPhone 安卓 Type C 充電線 呼吸燈 吸磁 智能 傳輸線 閃充線,780,2,2018-09-02
家電/影音,影音轟9折+專業影音施工:德昌,SAMPO 聲寶 SK-FH18DR DC節能扇 台灣製造品質保證 七段風量 無線遙控 公司貨 SKFH18DR,2988,1,2018-09-02
家電/影音,影音轟9折+專業影音施工:德昌,( 福利現貨 ) 德國 BRITA Liquelli 力酷型濾水壺 2.2L 送母親節好禮 公司貨,990,1,2018-09-02
家電/影音,影音轟9折+專業影音施工:德昌,ELITE SCREENS 億立 55/50吋 4:3/16:9 行動式微型桌拉幕 伸縮調整 PC55W-EST 公司貨 運費另計,5999,1,2018-09-02
家電/影音,影音轟9折+專業影音施工:德昌,SONY BDP-S5500 3D藍光DVD多媒體播放機 送HDMI線+網路線+金士頓16G隨身碟升級終保,5990,1,2018-09-02
